Game #,Home Player,Away Player,Faction 1,Mat 1,Combo Bid 1,Faction 2,Mat 2,Combo Bid 2,Player on Combo 1,Player on Combo 2,Match Winner,Match Loser,score combo 1,score combo 2,# rounds
24,FibausmHochhaus,dAy,Albion,Patriotic,11,Togawa,Innovative,0,FibausmHochhaus,dAy,dAy,FibausmHochhaus,40,60,19
25,dAy,Dzordz,Polania,Mechanical,8,Nordic,Agricultural,0,dAy,Dzordz,dAy,Dzordz,77,22,
26,Nevic,FibausmHochhaus,Albion,Patriotic,0,Saxony,Agricultural,2,Nevic,FibausmHochhaus,Nevic,FibausmHochhaus,72,51,19
27,FibausmHochhaus,Nevic,Albion,Mechanical,0,Togawa,Engineering,8,FibausmHochhaus,Nevic,FibausmHochhaus,Nevic,80,69,23
28,FibausmHochhaus,Dzordz,Albion,Patriotic,0,Togawa,Innovative,6,FibausmHochhaus,Dzordz,FibausmHochhaus,Dzordz,69,63,30
29,Dzordz,FibausmHochhaus,Togawa,Industrial,4,Nordic,Engineering,0,FibausmHochhaus,Dzordz,Dzordz,FibausmHochhaus,51,85,28
30,Dzordz,FibausmHochhaus,Nordic,Patriotic,0,Rusviet,Militant,10,Dzordz,FibausmHochhaus,Dzordz,FibausmHochhaus,82,77,24
31,FOMOF,FibausmHochhaus,Albion,Patriotic,8,Togawa,Militant,0,FibausmHochhaus,FOMOF,FibausmHochhaus,FOMOF,73,56,21
32,Nevic,JoyDivision,Albion,Innovative,0,Saxony,Agricultural,0,Nevic,JoyDivision,Nevic,JoyDivision,68,42,19
33,JoyDivision,Nevic,Nordic,Patriotic,5,Crimea,Mechanical,0,JoyDivision,Nevic,JoyDivision,Nevic,70,57,19
34,FibausmHochhaus,FOMOF,Nordic,Militant,8,Togawa,Engineering,0,FOMOF,FibausmHochhaus,FOMOF,FibausmHochhaus,52,40,17
35,FibausmHochhaus,FOMOF,Saxony,Industrial,10,Nordic,Innovative,0,FOMOF,FibausmHochhaus,FOMOF,FibausmHochhaus,83,46,23
36,Nevic,Dzordz,Albion,Industrial,0,Crimea,Engineering,6,Nevic,Dzordz,Dzordz,Nevic,38,50,19
37,Dzordz,Nevic,Saxony,Militant,0,Polania,Innovative,12,Dzordz,Nevic,Nevic,Dzordz,59,36,16
38,Nevic,Dzordz,Togawa,Industrial,0,Crimea,Agricultural,8,Nevic,Dzordz,Dzordz,Nevic,67,86,24
39,Dzordz,Nevic,Saxony,Industrial,11,Polania,Patriotic,0,Dzordz,Nevic,Nevic,Dzordz,42,5,19
40,FOMOF,dAy,Togawa,Agricultural,0,Albion,Militant,12,FOMOF,dAy,FOMOF,dAy,67,54,23
41,JoyDivision,FibausmHochhaus,Rusviet,Militant,10,Nordic,Patriotic,0,FibausmHochhaus,JoyDivision,JoyDivision,FibausmHochhaus,79,86,23
42,Dzordz,FOMOF,Saxony,Patriotic,0,Rusviet,Mechanical,6,Dzordz,FOMOF,FOMOF,Dzordz,,,
43,FOMOF,Nevic,Rusviet,Innovative,65,Togawa,Mechanical,0,FOMOF,Nevic,FOMOF,Nevic,116,48,20
44,Dzordz,dAy,Rusviet,Agricultural,0,Polania,Industrial,15,Dzordz,dAy,Dzordz,dAy,,,
45,Nevic,FOMOF,Togawa,Industrial,0,Crimea,Agricultural,8,Nevic,FOMOF,Nevic,FOMOF,69,58,23
46,Dzordz,dAy,Rusviet,Agricultural,0,Polania,Mechanical,6,dAy,Dzordz,dAy,Dzordz,64,37,21
47,FOMOF,JoyDivision,Crimea,Industrial,0,Saxony,Innovative,11,JoyDivision,FOMOF,JoyDivision,FOMOF,66,27,17
48,FibausmHochhaus,Dzordz,Saxony,Industrial,7,Nordic,Innovative,0,FibausmHochhaus,Dzordz,Dzordz,FibausmHochhaus,57,48,20
49,dAy,JoyDivision,Togawa,Engineering,2,Albion,Mechanical,0,JoyDivision,dAy,JoyDivision,dAy,59,57,25
50,JoyDivision,dAy,Nordic,Patriotic,7,Crimea,Mechanical,0,dAy,JoyDivision,JoyDivision,dAy,72,69,18
51,Nevic,JoyDivision,Togawa,Innovative,0,Saxony,Mechanical,6,Nevic,JoyDivision,JoyDivision,Nevic,72,82,26
52,JoyDivision,FibausmHochhaus,Rusviet,Patriotic,6,Crimea,Agricultural,0,FibausmHochhaus,JoyDivision,JoyDivision,FibausmHochhaus,28,57,17
53,FOMOF,Nevic,Rusviet,Militant,0,Crimea,Innovative,0,FOMOF,Nevic,FOMOF,Nevic,62,44,18
54,JoyDivision,dAy,Crimea,Industrial,0,Saxony,Innovative,10,JoyDivision,dAy,JoyDivision,dAy,37,47,16
55,JoyDivision,FOMOF,Rusviet,Mechanical,0,Crimea,Agricultural,0,FOMOF,JoyDivision,JoyDivision,FOMOF,20,69,20
56,FOMOF,FibausmHochhaus,Rusviet,Engineering,0,Nordic,Industrial,0,FOMOF,FibausmHochhaus,FOMOF,FibausmHochhaus,92,71,32
57,Dzordz,FOMOF,Nordic,Innovative,0,Crimea,Agricultural,44,FOMOF,Dzordz,FOMOF,Dzordz,91,61,
58,FOMOF,Dzordz,Saxony,Mechanical,0,Nordic,Industrial,0,Dzordz,FOMOF,Dzordz,FOMOF,56,48,22
59,FOMOF,dAy,Polania,Engineering,0,Rusviet,Patriotic,0,dAy,FOMOF,dAy,FOMOF,52,38,17
60,dAy,FOMOF,Albion,Mechanical,0,Togawa,Engineering,0,FOMOF,dAy,FOMOF,dAy,78,76,30
