Match #	Home Player	Away Player	Faction 1	Mat 1	Faction 2	Mat 2	Player on Combo 1	Player on Combo 2	Match Winner	Match Loser	score combo 1	score combo 2	# rounds
68	releasethecralkin	dAyKiLLeR	Crimea	Innovative	Polania	Militant	dAyKiLLeR	releasethecralkin	dAyKiLLeR	releasethecralkin			
69	nobadinohz	dAyKiLLeR	Nordic	Patriotic	Crimea	Mechanical	nobadinohz	dAyKiLLeR	nobadinohz	dAyKiLLeR	65	58	19
70	nobadinohz	dAyKiLLeR	Albion	Agricultural	Togawa	Patriotic	nobadinohz	dAyKiLLeR	nobadinohz	dAyKiLLeR	70	51	22
71	nobadinohz	Bulldogcoma	Albion	Agricultural	Togawa	Patriotic	Bulldogcoma	nobadinohz	Bulldogcoma	nobadinohz	67	62	21
72	nobadinohz	Zottelschratz	Polania	Industrial	Rusviet	Engineering	Zottelschratz	nobadinohz	Zottelschratz	nobadinohz	63	19	12
73	Bulldogcoma	nobadinohz	Polania	Innovative	Crimea	Industrial	Bulldogcoma	nobadinohz	nobadinohz	Bulldogcoma	86	91	27
74	Zottelschratz	nobadinohz	Polania	Industrial	Rusviet	Engineering	nobadinohz	Zottelschratz	Zottelschratz	nobadinohz	44	93	21
75	Zottelschratz	nobadinohz	Albion	Mechanical	Togawa	Engineering	Zottelschratz	nobadinohz	Zottelschratz	nobadinohz	57	51	21
76	nobadinohz	Zottelschratz	Nordic	Patriotic	Crimea	Mechanical	Zottelschratz	nobadinohz	Zottelschratz	nobadinohz	60	36	18
77	nobadinohz	Nevic	Polania	Industrial	Rusviet	Engineering	Nevic	nobadinohz	Nevic	nobadinohz	59	46	18
78	Bulldogcoma	dAyKiLLeR	Saxony	Engineering	Nordic	Agricultural	dAyKiLLeR	Bulldogcoma	dAyKiLLeR	Bulldogcoma			
79	Bulldogcoma	releasethecralkin	Saxony	Engineering	Nordic	Agricultural	Bulldogcoma	releasethecralkin	releasethecralkin	Bulldogcoma	47	57	17
80	Bulldogcoma	releasethecralkin	Crimea	Innovative	Polania	Militant	Bulldogcoma	releasethecralkin	Bulldogcoma	releasethecralkin			
81	releasethecralkin	Bulldogcoma	Polania	Innovative	Crimea	Industrial	releasethecralkin	Bulldogcoma	releasethecralkin	Bulldogcoma			
82	nobadinohz	Nevic	Albion	Patriotic	Saxony	Militant	nobadinohz	Nevic	Nevic	nobadinohz	60	91	24
83	JoyDivision	dAyKiLLeR	Togawa	Industrial	Crimea	Agricultural	JoyDivision	dAyKiLLeR	JoyDivision	dAyKiLLeR			
84	JoyDivision	dAyKiLLeR	Nordic	Patriotic	Rusviet	Militant	JoyDivision	dAyKiLLeR	JoyDivision	dAyKiLLeR			
