Game #,Home Player,Away Player,Faction 1,Mat 1,Combo Bid 1,Faction 2,Mat 2,Combo Bid 2,Player on Combo 1,Player on Combo 2,Match Winner,Match Loser,score combo 1,score combo 2,# rounds
37,Winteriscoming,WaveSamu,Albion,Innovative,6,Nordic,Mechanical,0,WaveSamu,Winteriscoming,WaveSamu,Winteriscoming,61,41,20
38,WaveSamu,Winteriscoming,Crimea,Innovative,16,Polania,Militant,0,WaveSamu,Winteriscoming,Winteriscoming,WaveSamu,46,55,
39,tomeleoon,thebluebus,Polania,Industrial,0,Rusviet,Engineering,0,thebluebus,tomeleoon,tomeleoon,thebluebus,49,56,20
40,thebluebus,tomeleoon,Nordic,Industrial,3,Saxony,Militant,0,thebluebus,tomeleoon,tomeleoon,thebluebus,50,60,19
41,Winteriscoming,WaveSamu,Polania,Industrial,5,Saxony,Mechanical,0,Winteriscoming,WaveSamu,Winteriscoming,WaveSamu,68,54,
42,WaveSamu,tomeleoon,Saxony,Engineering,0,Crimea,Agricultural,5,tomeleoon,WaveSamu,tomeleoon,WaveSamu,62,35,18
43,loveable tofosi,stillcantfrontlever,Saxony,Industrial,8,Crimea,Agricultural,0,loveable tofosi,stillcantfrontlever,loveable tofosi,stillcantfrontlever,48,47,18
44,Winteriscoming,stillcantfrontlever,Rusviet,Agricultural,8,Polania,Mechanical,0,stillcantfrontlever,Winteriscoming,Winteriscoming,stillcantfrontlever,39,33,
45,stillcantfrontlever,Winteriscoming,Polania,Innovative,5,Saxony,Industrial,0,Winteriscoming,stillcantfrontlever,stillcantfrontlever,Winteriscoming,31,71,
46,Winteriscoming,tomeleoon,Togawa,Engineering,3,Albion,Mechanical,0,Winteriscoming,tomeleoon,Winteriscoming,tomeleoon,80,79,27
47,tomeleoon,Winteriscoming,Crimea,Engineering,0,Rusviet,Militant,9,tomeleoon,Winteriscoming,Winteriscoming,tomeleoon,59,88,23
48,truebroyeti,stillcantfrontlever,Togawa,Militant,0,Saxony,Engineering,7,truebroyeti,stillcantfrontlever,truebroyeti,stillcantfrontlever,60,41,18
49,stillcantfrontlever,truebroyeti,Nordic,Industrial,,Crimea,Engineering,,stillcantfrontlever,truebroyeti,stillcantfrontlever,truebroyeti,58,47,18
50,Winteriscoming,truebroyeti,Polania,Industrial,10,Saxony,Mechanical,0,Winteriscoming,truebroyeti,Winteriscoming,truebroyeti,,,
51,truebroyeti,tomeleoon,Togawa,Militant,,Saxony,Engineering,6,truebroyeti,tomeleoon,tomeleoon,truebroyeti,33,51,
52,loveable tofosi,WaveSamu,Saxony,Militant,0,Rusviet,Innovative,22,loveable tofosi,WaveSamu,WaveSamu,loveable tofosi,36,44,16
53,WaveSamu,loveable tofosi,Albion,Militant,3,Togawa,Innovative,0,WaveSamu,loveable tofosi,WaveSamu,loveable tofosi,90,72,21
54,truebroyeti,WaveSamu,Albion,Mechanical,,Togawa,Engineering,,truebroyeti,WaveSamu,truebroyeti,WaveSamu,66,42,22
55,thebluebus,truebroyeti,Saxony,Industrial,2,Polania,Patriotic,,truebroyeti,thebluebus,truebroyeti,thebluebus,85,38,17
56,WaveSamu,thebluebus,Polania,Industrial,8,Saxony,Mechanical,0,thebluebus,WaveSamu,WaveSamu,thebluebus,49,54,17
57,tomeleoon,loveable tofosi,Togawa,Patriotic,0,Polania,Mechanical,0,loveable tofosi,tomeleoon,tomeleoon,loveable tofosi,31,49,17
58,loveable tofosi,tomeleoon,Saxony,Engineering,0,Nordic,Patriotic,16,loveable tofosi,tomeleoon,tomeleoon,loveable tofosi,33,55,17
59,truebroyeti,Winteriscoming,Nordic,Innovative,8,Saxony,Patriotic,0,truebroyeti,Winteriscoming,truebroyeti,Winteriscoming,97,43,23
60,tomeleoon,truebroyeti,Polania,Mechanical,10,Nordic,Agricultural,0,truebroyeti,tomeleoon,tomeleoon,truebroyeti,58,104,25
61,truebroyeti,tomeleoon,Saxony,Industrial,0,Polania,Patriotic,0,truebroyeti,tomeleoon,truebroyeti,tomeleoon,79,38,19
62,stillcantfrontlever,WaveSamu,Nordic,Industrial,5,Crimea,Engineering,0,stillcantfrontlever,WaveSamu,WaveSamu,stillcantfrontlever,25,36,16
63,stillcantfrontlever,Winteriscoming,Nordic,Patriotic,10,Crimea,Mechanical,0,Winteriscoming,stillcantfrontlever,Winteriscoming,stillcantfrontlever,,,
64,Winteriscoming,stillcantfrontlever,Polania,Mechanical,12,Rusviet,Agricultural,0,stillcantfrontlever,Winteriscoming,Winteriscoming,stillcantfrontlever,,,
65,WaveSamu,stillcantfrontlever,Albion,Militant,6,Togawa,Innovative,0,stillcantfrontlever,WaveSamu,WaveSamu,stillcantfrontlever,37,69,17
66,stillcantfrontlever,WaveSamu,Crimea,Engineering,0,Rusviet,Mechanical,1,stillcantfrontlever,WaveSamu,stillcantfrontlever,WaveSamu,42,29,14
67,WaveSamu,truebroyeti,Polania,Industrial,,Saxony,Innovative,12,WaveSamu,truebroyeti,WaveSamu,truebroyeti,48,45,19
68,truebroyeti,WaveSamu,Albion,Patriotic,0,Togawa,Innovative,0,truebroyeti,WaveSamu,truebroyeti,WaveSamu,59,50,18
69,WaveSamu,truebroyeti,Saxony,Industrial,3,Polania,Patriotic,0,WaveSamu,truebroyeti,truebroyeti,WaveSamu,59,62,20
70,WaveSamu,stillcantfrontlever,Albion,Patriotic,6,Togawa,Innovative,0,WaveSamu,stillcantfrontlever,WaveSamu,stillcantfrontlever,74,45,18
71,loveable tofosi,truebroyeti,Albion,Agricultural,0,Togawa,Patriotic,0,loveable tofosi,truebroyeti,truebroyeti,loveable tofosi,51,71,19
72,truebroyeti,stillcantfrontlever,Togawa,Engineering,0,Albion,Mechanical,0,stillcantfrontlever,truebroyeti,truebroyeti,stillcantfrontlever,45,71,23
73,stillcantfrontlever,tomeleoon,Crimea,Engineering,4,Rusviet,Patriotic,0,stillcantfrontlever,tomeleoon,stillcantfrontlever,tomeleoon,47,37,19
74,tomeleoon,stillcantfrontlever,Saxony,Engineering,0,Nordic,Militant,2,tomeleoon,stillcantfrontlever,tomeleoon,stillcantfrontlever,66,46,19
75,tomeleoon,truebroyeti,Polania,Engineering,0,Saxony,Militant,0,tomeleoon,truebroyeti,tomeleoon,truebroyeti,26,51,18
76,stillcantfrontlever,tomeleoon,Nordic,Industrial,0,Crimea,Engineering,0,stillcantfrontlever,tomeleoon,stillcantfrontlever,tomeleoon,44,30,20
77,tomeleoon,stillcantfrontlever,Polania,Engineering,0,Saxony,Militant,2,tomeleoon,stillcantfrontlever,tomeleoon,stillcantfrontlever,57,37,16
78,loveable tofosi,stillcantfrontlever,Saxony,Patriotic,0,Polania,Mechanical,2,loveable tofosi,stillcantfrontlever,stillcantfrontlever,loveable tofosi,48,55,17
79,stillcantfrontlever,loveable tofosi,Crimea,Engineering,6,Rusviet,Patriotic,0,stillcantfrontlever,loveable tofosi,stillcantfrontlever,loveable tofosi,44,34,13
80,stillcantfrontlever,thebluebus,Nordic,Industrial,7,Crimea,Engineering,0,stillcantfrontlever,thebluebus,thebluebus,stillcantfrontlever,52,46,16
81,loveable tofosi,stillcantfrontlever,Nordic,Innovative,6,Rusviet,Patriotic,0,loveable tofosi,stillcantfrontlever,stillcantfrontlever,loveable tofosi,,,
82,thebluebus,stillcantfrontlever,Rusviet,Mechanical,0,Polania,Innovative,6,stillcantfrontlever,thebluebus,thebluebus,stillcantfrontlever,59,73,22
83,stillcantfrontlever,thebluebus,Rusviet,Patriotic,0,Crimea,Engineering,12,thebluebus,stillcantfrontlever,thebluebus,stillcantfrontlever,46,50,21
84,stillcantfrontlever,truebroyeti,Nordic,Innovative,5,Rusviet,Engineering,0,truebroyeti,stillcantfrontlever,stillcantfrontlever,truebroyeti,21,51,
