C,danglading#9942,Polania,Patriotic,38,$12,$0,$38,1,Marcaunon#1172,Crimea,Innovative,46,$29,$20,$26,0,SuaveJ#4927,,,,,,,,KTKatona#2494,Polania,Patriotic,47,$12,$5,$42,1
D,,,,,,,,,DominoBay#6208,Rusviet,Mechanical,59,$26,$10,$49,3,Daekony#7486,Togawa,Agricultural,76,$7,$3,$73,3,macmd#6717,Rusviet,Engineering,55.5,$22,$17,$39,3
D,ShadowEL3MENT17#4183,Nordic,Patriotic,82,$16,$0,$82,3,macmd#6717,Polania,Industrial,33,$17,$1,$32,1,Petey#0736,Polania,Mechanical,60,$11,$7,$53,1,H2G#5686,Crimea,Mechanical,41,$23,$18,$23,1
D,DAMAJESSICA#8110,Rusviet,Agricultural,63,$17,$1,$62,1,synchro#8474,Nordic,Patriotic,33,$16,$0,$33,1,Glycerine#5308,Albion,Industrial,45,$4,$0,$45,0,Petey#0736,Togawa,Industrial,22,$5,$0,$22,0
D,GeorgeB,Crimea,Militant,66,$34,$18,$48,0,mvince113#9143,Crimea,Innovative,32,$29,$13,$19,0,ShadowEL3MENT17#4183,Nordic,Patriotic,67,$16,$12,$55,1,Rossyrg#1744,Nordic,Patriotic,49,$16,$11,$38,1
E,Lilleadam#0833,Polania,Agricultural,58,$9,$0,$58,3,danglading#9942,Polania,Agricultural,40,$9,$1,$39,1,Marcaunon#1172,Saxony,Engineering,27.5,$5,$0,$28,1,Marcaunon#1172,Saxony,Militant,54,$18,$1,$53,1
E,LYB#6149,Nordic,Industrial,35,$15,$6,$29,0,3dsam#3179,Rusviet,Engineering,39,$22,$14,$25,0,Bizzle976#1819,Nordic,Agricultural,42,$6,$1,$41,1,SuaveJ#4927,Nordic,Innovative,55,$17,$0,$55,3
E,,,,,,,,,Daekony#7486,Albion,Patriotic,53,$8,$0,$53,3,bfranx62#7669,Togawa,Militant,29,$7,$2,$27,0,ShadowEL3MENT17#4183,Polania,Industrial,27,$17,$0,$27,0
E,SuaveJ#4927,Saxony,Patriotic,35,$10,$1,$34,1,ROADY#2900,Saxony,Industrial,59,$15,$7,$52,1,Grishous#5984,Rusviet,Mechanical,70,$26,$21,$49,3,Glim3#0992,Crimea,Mechanical,56,$23,$6,$50,1
F,Glycerine#5308,Albion,Patriotic,86,$8,$1,$85,3,Sia#8649,Saxony,Industrial,33,$15,$4,$29,0,ДанилаМастер#5570,Rusviet,Patriotic,33,$21,$14,$19,1,Bizzle976#1819,Crimea,Industrial,64,$22,$14,$50,1
F,Geomer#5546,Nordic,Innovative,84,$17,$10,$74,1,,,,,,,,,ROADY#2900,Nordic,Engineering,23,$7,$0,$23,1,Scuri#0340,Polania,Agricultural,42,$9,$1,$41,0
F,harryfan007#8759,Crimea,Industrial,56,$22,$15,$41,0,Petey#0736,Togawa,Patriotic,63,$11,$0,$63,3,DenverKris72#6485,Polania,Industrial,9,$17,$10,-$1,0,ДанилаМастер#5570,Rusviet,Militant,80,$30,$22,$58,3
F,Daekony#7486,Togawa,Agricultural,80,$7,$0,$80,1,DenverKris72#6485,Polania,Militant,56,$25,$14,$42,1,macmd#6717,Saxony,Innovative,42,$23,$16,$26,3,Glycerine#5308,Albion,Patriotic,52,$8,$0,$52,1
G,HarleyQuinn#1160,Albion,Patriotic,70,$8,$0,$70,3,KORVUSS#4065,,,,,,,,synchro#8474,Rusviet,Patriotic,62,$21,$12,$50,1,ROADY#2900,,,1,,,1,1.5
G,Hypersonyk#2938,Polania,Militant,43,$25,$17,$26,0,GeorgeB,Saxony,Patriotic,39,$10,$0,$39,1,danglading#9942,Polania,Agricultural,35,$9,$0,$35,0,synchro#8474,,,,,,,
G,Sia#8649,Crimea,Innovative,57,$29,$21,$36,1,Glim3#0992,Nordic,Mechanical,73,$10,$0,$73,3,KTKatona#2494,Crimea,Industrial,67,$22,$13,$54,3,MaarekStele#6610,,,,,,,
G,3dsam#3179,Rusviet,Agricultural,42,$17,$9,$33,1,DAMAJESSICA#8110,Crimea,Agricultural,20,$12,$2,$18,0,,,,,,,,,Marclo250#0538,,,1,,,1,1.5
H,,,,,,,,,Verbascum#4224,Nordic,Patriotic,33,$16,$0,$33,0,Verbascum#4224,Togawa,Innovative,43,$13,$4,$39,1,garthcp#0690,Crimea,Innovative,55,$29,$22,$33,1
H,,,,,,,,,KTKatona#2494,Polania,Industrial,49,$17,$1,$48,1,mvince113#9143,Nordic,Industrial,23,$15,$6,$17,0,danglading#9942,Polania,Mechanical,32,$11,$4,$28,1
H,,,,,,,,,SuaveJ#4927,Crimea,Mechanical,56,$23,$7,$49,3,3dsam#3179,Polania,Agricultural,33,$9,$0,$33,1,Verbascum#4224,Togawa,Agricultural,46,$7,$0,$46,3
H,,,,,,,,0,H2G#5686,Rusviet,Militant,62,$30,$14,$48,1,H2G#5686,Saxony,Patriotic,64,$10,$1,$63,3,North#6074,,,,,,,
I,Petey#0736,Crimea,Industrial,45,$22,$4,$41,1,North#6074,Crimea,Industrial,35,$22,$9,$26,0,Marclo250#0538,,,1,,,1,1.5,3dsam#3179,Polania,Patriotic,36,$12,$5,$31,1
I,Scuri#0340,Rusviet,Mechanical,46,$26,$8,$38,0,Bizzle976#1819,Saxony,Militant,59,$18,$5,$54,3,Sia#8649,,,,,,,,harryfan007#8759,Saxony,Mechanical,54,$9,$2,$52,3
I,North#6074,Polania,Innovative,54,$24,$6,$48,1,Marclo250#0538,Togawa,Innovative,37,$13,$0,$37,1,garthcp#0690,,,1,,,$1,1.5,mvince113#9143,Nordic,Innovative,33,$17,$10,$23,0
I,Marcaunon#1172,Saxony,Militant,62,$18,$0,$62,3,garthcp#0690,Nordic,Patriotic,33,$16,$3,$30,1,DAMAJESSICA#8110,,,,,,,,CrawSlaw# 0033,Togawa,Agricultural,44,$7,$0,$44,1
J,,,,,,,,,harryfan007#8759,Nordic,Militant,56,$10,$2,$54,1,harryfan007#8759,Saxony,Industrial,50,$15,$7,$43,1,KORVUSS#4065,,,,,,,
J,MaarekStele#6610,Crimea,Engineering,25,$16,$7,$18,0,Hypersonyk#2938,Albion,Patriotic,45,$8,$0,$45,0,GeorgeB,Polania,Engineering,36,$8,$0,$36,0,GeorgeB,,,,,,,
J,Sad Sad Tim,Rusviet,Patriotic,62.5,$21,$12,$51,3,bfranx62#7669,Polania,Agricultural,60,$9,$1,$59,3,North#6074,Rusviet,Agricultural,52,$17,$9,$43,1,DAMAJESSICA#8110,,,,,,,
J,KTKatona#2494,Saxony,Mechanical,50,$9,$0,$50,1,,,,,,,,,Scuri#0340,Nordic,Mechanical,55,$10,$2,$53,3,LYB#6149,,,,,,,
K,Marclo250#0538,Crimea,Industrial,27,$22,$6,$21,0,Grishous#5984,Rusviet,Mechanical,101,$26,$4,$97,3,LYB#6149,Polania,Agricultural,26,$9,$0,$26,0,Hypersonyk#2938,,,,,,,
K,Rossyrg#1744,Rusviet,Mechanical,53,$26,$10,$43,3,MaarekStele#6610,Crimea,Industrial,21,$22,$0,$21,0,,,,,,,,,,,,,,,,
K,macmd#6717,Polania,Innovative,37,$24,$8,$29,1,LYB#6149,,,,,,,,CrawSlaw# 0033,Nordic,Patriotic,39,$16,$7,$32,1,,,,,,,,
K,synchro#8474,Nordic,Patriotic,23,$16,$0,$23,1,,,,,,,,,MaarekStele#6610,Rusviet,Innovative,80,$35,$26,$54,3,,,,,,,,
L,Grishous#5984,Rusviet,Mechanical,29,$26,$18,$11,0,CrawSlaw# 0033,Polania,Industrial,49,$17,$1,$48,0,,,,,,,,,,,,,,,,
L,KORVUSS#4065,Crimea,Innovative,50,$29,$21,$29,1,Scuri#0340,Crimea,Engineering,53,$16,$0,$53,1,,,,,,,,,,,,,,,,
L,thebough#8806,Nordic,Industrial,52,$15,$7,$45,3,ДанилаМастер#5570,Rusviet,Patriotic,64,$21,$5,$59,3,,,,,,,,,,,,,,,,
L,Verbascum#4224,Albion,Patriotic,34,$8,$0,$34,1,,,,,,,,,,,,,,,,,,,,,,,,
M,DominoBay#6208,Rusviet,Mechanical,60,$26,$17,$43,1,,,,,,,,,,,,,,,,,,,,,,,,
M,Bizzle976#1819,Saxony,Industrial,26,$15,$6,$20,0,,,,,,,,,,,,,,,,,,,,,,,,
M,lsfnewyork#7507 ,Crimea,Militant,79,$34,$25,$54,3,,,,,,,,,,,,,,,,,,,,,,,,
M,ROADY#2900,Polania,Agricultural,30,$9,$0,$30,1,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
